,0
0,23998
1,22481
-1,22307
2,19076
-2,18823
3,15486
-3,14932
4,13005
-4,12495
5,11408
-5,10626
6,10612
7,10023
-6,9845
8,9550
9,9246
-7,9020
10,8833
-8,8611
11,8569
12,8338
13,8169
-9,8141
-10,7651
14,7520
15,7409
-11,7249
16,7072
-12,7055
-13,6708
17,6586
18,6420
-14,6319
19,6285
-15,5995
20,5952
21,5819
22,5699
-16,5668
-17,5542
23,5295
-18,5199
24,5054
-19,4962
25,4889
-20,4721
26,4697
-21,4463
27,4351
28,4316
-22,4264
-23,4192
29,3957
-24,3946
30,3851
-25,3746
-26,3649
31,3620
-27,3525
32,3425
-28,3230
33,3211
-29,3176
34,3092
-30,3089
35,2987
-31,2944
36,2893
-32,2863
-33,2681
37,2645
-34,2554
-35,2497
38,2473
39,2428
-36,2420
-37,2379
40,2227
-38,2182
-39,2090
41,2080
42,2049
-40,2001
43,1978
-41,1975
-42,1904
44,1846
-43,1808
-44,1808
45,1767
-45,1721
-47,1651
-46,1641
47,1630
46,1625
-48,1507
48,1489
49,1447
-49,1412
-50,1396
51,1385
-52,1368
50,1365
-53,1314
-51,1296
53,1288
52,1274
54,1241
-54,1235
55,1228
-56,1165
-55,1162
-57,1112
57,1110
56,1083
-58,1077
58,1068
59,1028
-59,1027
-60,1026
60,995
61,967
-61,954
62,945
-63,918
-62,908
63,894
-64,887
64,867
65,830
66,820
-66,787
67,772
-65,769
-67,757
-68,745
70,726
-69,717
-70,712
68,710
69,700
-71,679
71,673
72,664
73,649
-73,638
-74,636
-72,614
-76,603
74,588
77,588
-75,578
-78,564
76,564
75,563
-77,562
78,557
-79,552
-80,551
-83,519
79,517
80,507
-82,490
-81,488
-85,481
-84,472
81,465
-89,462
82,450
-87,443
85,437
84,423
-88,420
83,418
-93,407
-92,407
86,401
-86,400
-95,398
-97,392
-91,376
-94,375
-90,362
-96,361
87,359
88,357
94,356
90,355
93,353
-101,352
91,348
92,347
-100,344
89,343
-99,340
-102,333
-98,323
95,318
98,305
100,301
-103,300
99,299
-108,298
-105,295
-107,294
97,294
-104,291
-106,287
105,286
-109,276
103,268
101,263
-111,262
102,257
96,255
-112,254
-110,252
-117,247
107,246
-116,243
-113,243
-118,238
-115,234
104,232
111,230
109,230
108,227
-123,216
113,215
-114,213
-120,209
110,208
-119,207
-122,206
114,205
-125,204
106,201
112,200
120,200
-132,197
-124,196
-126,194
-131,192
-133,192
118,190
-121,188
-127,186
-130,185
-128,184
-137,184
115,183
117,180
-129,175
123,174
-140,172
116,171
-134,164
124,164
122,164
-144,162
-135,159
119,158
-142,157
-136,156
-139,152
125,152
121,151
-147,149
137,146
127,146
135,145
130,145
126,143
-150,142
-141,140
-151,140
131,138
-152,137
-146,135
-143,134
-157,134
-138,133
-149,133
-148,132
-145,132
128,129
129,128
136,126
-154,125
132,125
-155,124
133,124
138,121
134,120
-163,119
143,116
-153,116
-162,113
-160,111
-158,111
-165,108
152,107
-170,106
141,106
139,106
148,104
-161,103
-156,103
140,102
-171,101
-167,101
157,101
144,100
156,100
-179,100
-174,99
151,98
142,98
-166,96
-169,95
-159,95
150,94
-164,94
145,94
166,93
154,93
-186,93
158,92
-168,92
-176,92
146,91
147,90
-182,90
155,87
162,87
161,86
-177,86
-183,86
-180,85
-184,85
-198,85
-195,85
149,85
153,85
-185,84
164,84
159,84
-191,83
172,83
-172,83
167,82
-189,81
168,81
-178,81
-192,81
-173,79
-202,79
174,79
169,79
-175,78
-200,78
160,77
165,77
-181,77
-197,77
163,77
175,77
171,76
-193,75
-190,75
-199,75
180,73
181,73
173,72
-194,70
176,69
-215,67
170,66
-187,65
194,65
-218,63
-205,63
187,63
-213,62
189,61
186,61
190,61
182,61
-206,60
-196,60
-212,60
-204,59
-217,59
177,59
184,59
-201,58
-220,58
183,58
-203,58
207,58
-208,57
185,57
203,57
208,57
179,56
-223,56
-221,55
-230,54
198,54
-188,53
-209,53
200,53
209,53
210,53
199,52
202,52
-216,52
-229,52
-239,51
-227,51
197,51
-210,51
214,50
-211,50
196,50
191,50
204,50
213,50
-207,50
212,49
-214,49
188,48
192,48
219,48
215,47
-225,47
178,47
211,47
195,46
-226,46
-222,46
193,45
231,45
-233,45
-237,45
-228,45
-234,44
220,44
224,43
229,43
-252,43
-236,43
-219,43
225,42
-224,42
-231,42
216,41
218,41
-232,41
-245,40
222,40
-253,40
-240,39
235,39
206,39
205,39
201,39
230,39
-244,39
217,38
240,38
263,38
-250,37
255,37
227,37
223,37
295,37
246,37
-243,37
226,36
-235,36
-256,36
245,36
247,35
-257,35
-251,35
261,35
-262,35
258,35
280,35
260,34
-238,34
234,34
221,34
-246,34
-247,33
-287,33
259,33
-259,33
-255,33
232,32
271,32
-272,32
242,32
237,32
233,31
-254,31
243,31
251,30
-266,30
-249,30
-248,30
273,30
253,29
-270,29
-282,29
-267,29
266,29
-241,29
282,28
277,28
-290,28
249,28
-305,28
275,28
238,28
-279,28
-303,27
236,27
-242,27
264,27
-271,27
290,27
254,27
239,27
-273,26
-308,26
256,26
270,26
276,26
-280,25
250,25
252,25
274,25
-309,25
-289,25
279,25
248,25
-297,25
283,25
228,24
289,24
-258,24
-278,24
-260,24
-265,24
285,24
-269,24
-283,24
-284,24
294,24
332,23
-298,23
262,23
-291,23
366,23
292,23
